,Column 1,1,PV_cum_capacity MW last year,total_population,agri_land_area,tertiary,electricity net consumption (billion kWh),PV_cum_capacity MW last year^2,PV_cum_capacity MW last year total_population,PV_cum_capacity MW last year agri_land_area,PV_cum_capacity MW last year tertiary,PV_cum_capacity MW last year electricity net consumption (billion kWh),total_population^2,total_population agri_land_area,total_population tertiary,total_population electricity net consumption (billion kWh),agri_land_area^2,agri_land_area tertiary,agri_land_area electricity net consumption (billion kWh),tertiary^2,tertiary electricity net consumption (billion kWh),electricity net consumption (billion kWh)^2,PV_capacity_additions_MW,H2_1 2,H2_2 2,H2_3 2,H2_4 2,H2_5 2,H1_1 2,H1_2 2,H1_3 2,H1_4 2,H1_5 2,Predicted_PV_capacity_additions_MW,residual,Country,set
33,150,1,1.397,139035505,93110,8963202.034,23.4765,1.951609,194232600.5,130074.67,12521593.24,32.7966705,1.93E+16,1.29E+13,1.25E+15,3264067033,8669472100,8.34564E+11,2185896.915,8.03E+13,210424612.6,551.1460523,1.086,0.078957201,0.057273453,-0.133874182,0.180605181,-0.109163146,0.137977581,-0.032611264,0.013080479,0.008948616,0.002731322,61.10348186,-60.01748186,Bangladesh,test
34,232,1,0,9460829,36500,1216273.795,0.90494,0,0,0,0,0,8.95E+13,3.4532E+11,1.15E+13,8561482.595,1332250000,44393993518,33030.31,1.48E+12,1100654.808,0.818916404,0,0.108650842,0.084146411,-0.105121268,0.196447224,-0.105135232,0.138516577,-0.031207946,0.013331827,0.008820712,0.002500142,-9.170584971,9.170584971,Benin,test
35,452,1,28387.8,1379860000,5286334,635293452,5250.58386,805867188.8,3.92E+13,1.50067E+11,1.8E+13,149052524.5,1.90E+18,7.29E+15,8.77E+17,7.25E+12,2.79E+13,3.36E+15,27756339979,4.04E+17,3.34E+12,27568630.87,15150,-0.305094798,-0.529067094,-0.993377861,-0.893201864,0.928541398,0.097341174,-0.085864076,-0.024535919,-0.021364906,0.009539978,18735.3278,-3585.327798,China,test
36,1615,1,3384,46362946,279700,33188603.2,246.05938,11451456,1.56892E+11,946504800,1.1231E+11,832664.9419,2.15E+15,1.3E+13,1.54E+15,11408037748,78232090000,9.28E+12,68822808.59,1.1E+15,8166367126,60545.21849,39,0.069306049,0.059100419,-0.285991993,0.255282837,-0.083733686,0.13929501,-0.043112437,0.013495532,0.009808942,0.006040995,752.0792975,-713.0792975,Spain,test
37,730,1,1,10902022,83430,7078460.839,49.5354,1,10902022,83430,7078460.839,49.5354,1.19E+14,9.09556E+11,7.72E+13,540036020.6,6960564900,5.90556E+11,4132738.422,5.01E+13,350634389,2453.755853,0,0.112469093,0.078269842,-0.120575667,0.166847501,-0.078570439,0.138114712,-0.031793268,0.012572284,0.008117934,0.002014304,4.511015642,-4.511015642,Greece,test
38,1245,1,20.965,2358044,388100,520172.2604,3.94328,439.531225,49436392.46,8136516.5,10905411.44,82.6708652,5.56E+12,9.15157E+11,1.23E+12,9298427.744,1.50622E+11,2.01879E+11,1530386.968,2.70579E+11,2051184.871,15.54945716,15,0.21965914,0.036840241,0.082387046,0.11142114,-0.016519773,0.13703337,-0.019138168,0.011005082,0.005453374,-0.001787219,-42.24639913,57.24639913,Namibia,test
39,73,1,0,3033976,13910,1096687.003,3.44126,0,0,0,0,0,9.21E+12,42202606160,3.33E+12,10440700.25,193488100,15254916212,47867.9266,1.2E+12,3773985.116,11.84227039,0,0.102790175,0.088605632,-0.116824443,0.199952711,-0.108774322,0.138585141,-0.031955988,0.013428143,0.008970432,0.002731128,-1.57423687,1.57423687,Armenia,test
40,1763,1,16.24,34558700,144150,1351286.644,1.3574,263.7376,561233288,2340996,21944895.1,22.044176,1.19E+15,4.98E+12,4.67E+13,46909979.38,20779222500,1.94788E+11,195669.21,1.83E+12,1834236.491,1.84253476,1.08,0.133346833,0.066685314,-0.055222588,0.170932606,-0.08425023,0.138022928,-0.027922059,0.012701348,0.007963905,0.001335894,-26.84619136,27.92619136,Uganda,test
41,526,1,2,1098089,1276,571049.0065,4.667,4,2196178,2552,1142098.013,9.334,1.21E+12,1401161564,6.27063E+11,5124781.363,1628176,728658532.3,5955.092,3.26097E+11,2665085.713,21.780889,2,0.098401266,0.091639476,-0.12294081,0.200847041,-0.111536798,0.138588265,-0.032339463,0.013475374,0.009051955,0.002852238,5.247078723,-3.247078723,Cyprus,test
42,667,1,9,5461512,22671,4854282.552,80.8765,81,49153608,204039,43688542.97,727.8885,2.98E+13,1.23818E+11,2.65E+13,441707975.3,513974241,1.10051E+11,1833551.132,2.36E+13,392597382.8,6541.008252,2,0.081188586,0.097310359,-0.166788595,0.153573108,-0.086274643,0.137797275,-0.034461796,0.012475813,0.008292841,0.002528435,62.68989778,-60.68989778,Finland,test
43,1332,1,8,4768212,10248,3461410.439,115.65264,64,38145696,81984,27691283.51,925.22112,2.27E+13,48864636576,1.65E+13,551456305.9,105021504,35472534179,1185208.255,1.2E+13,400321255.4,13375.53314,0.3,0.063406359,0.108467401,-0.19180855,0.127762533,-0.081408815,0.137284495,-0.035710998,0.012046659,0.008022386,0.002473333,102.8832056,-102.5832056,Norway,test
44,1263,1,13.552,27632682,41210,3202967.834,5.805609,183.656704,374478106.5,558477.92,43406620.09,78.67761317,7.64E+14,1.14E+12,8.85E+13,160424547.3,1698264100,1.31994E+11,239249.1469,1.03E+13,18595178.88,33.70509586,40.751,0.103665864,0.079832067,-0.113835611,0.196975522,-0.105990947,0.138504249,-0.031711723,0.013336446,0.0088979,0.002629624,3.884601243,36.86639876,Nepal,test
45,1736,1,2,59119673,169530,35039326.11,338.5437,4,118239346,339060,70078652.22,677.0874,3.5E+15,1E+13,2.07E+15,20014592840,28740420900,5.94E+12,57393313.46,1.23E+15,11862343107,114611.8368,1,0.050628725,0.077852344,-0.305181935,0.011123406,0.019927932,0.135577223,-0.041142389,0.00902387,0.005579532,0.001333433,274.3271793,-273.3271792,UK,test
46,428,1,0,16886184,157820,10285627.8,53.45744,0,0,0,0,0,2.85E+14,2.66E+12,1.74E+14,902692168,24907152400,1.62E+12,8436653.181,1.06E+14,549843331,2857.697891,0,0.136199567,0.0629987,-0.090520547,0.154853508,-0.058547194,0.13797707,-0.029838841,0.012148143,0.007516408,0.001262661,-17.92647143,17.92647143,Chile,test
47,1613,1,130,45226803,280040,31094262.09,255.56599,16900,5879484390,36405200,4042254072,33223.5787,2.05E+15,1.27E+13,1.41E+15,11558432683,78422401600,8.71E+12,71568699.84,9.67E+14,7946635874,65313.97524,364,0.114519924,0.05288442,-0.195504872,0.043102602,0.023541338,0.1363132,-0.034844221,0.00948983,0.005394652,0.000231218,91.2467774,272.7532226,Spain,test
48,1723,1,1.206,10304729,98050,3366983.641,11.04312,1.454436,12427503.17,118248.3,4060582.271,13.31800272,1.06E+14,1.01E+12,3.47E+13,113796358.9,9613802500,3.30133E+11,1082777.916,1.13E+13,37182004.39,121.9504993,0.01,0.126798933,0.074113227,-0.082681783,0.180777149,-0.086415762,0.13830294,-0.029682975,0.012875625,0.008227744,0.001811343,-24.89014328,24.90014328,Tunisia,test
49,1428,1,0,38042794,144490,28438985.39,134.76462,0,0,0,0,0,1.45E+15,5.5E+12,1.08E+15,5126822677,20877360100,4.11E+12,19472139.94,8.09E+14,3832569059,18161.5028,0,0.11585712,0.051313297,-0.182544858,0.147924939,-0.035949874,0.138106243,-0.035192531,0.011716668,0.007527687,0.002066601,54.05038189,-54.05038189,Poland,test
50,848,1,1.333,226289468,518460,38981301.02,106.775,1.776889,301643860.8,691107.18,51962074.26,142.331075,5.12E+16,1.17E+14,8.82E+15,24162057946,2.68801E+11,2.02E+13,55358566.5,1.52E+15,4162228416,11400.90063,0.053,0.186127118,-0.040833319,-0.031990294,0.096965821,0.015501012,0.136954592,-0.025375952,0.010262108,0.005548148,-0.000990738,5.989827162,-5.936827162,Indonesia,test
51,181,1,0,9448515,86239,8645406.363,32.79818,0,0,0,0,0,8.93E+13,8.1483E+11,8.17E+13,309894095.7,7437165121,7.45571E+11,2828482.245,7.47E+13,283553594.1,1075.720611,4,0.121653488,0.072062686,-0.110977757,0.182306316,-0.080753859,0.138431315,-0.031370782,0.012817205,0.00829099,0.002110661,-12.03008634,16.03008634,Belarus,test
52,1533,1,9,14993514,88780,1635402.566,3.85714,81,134941626,799020,14718623.09,34.71426,2.25E+14,1.33E+12,2.45E+13,57832082.59,7881888400,1.45191E+11,342436.8892,2.67E+12,6307976.653,14.87752898,33,0.122560742,0.076270804,-0.081621096,0.183564938,-0.092729892,0.138298233,-0.029654539,0.012993554,0.008360445,0.001908948,-21.08228713,54.08228713,Senegal,test
53,487,1,0,4311159,12300,1965254.289,14.97544,0,0,0,0,0,1.86E+13,53027255700,8.47E+12,64561502.93,151290000,24172627755,184197.912,3.86E+12,29430547.69,224.2638032,0,0.09867472,0.089744342,-0.126538311,0.19446294,-0.106127513,0.13849524,-0.032478061,0.013314038,0.008909437,0.002754694,9.157067583,-9.157067583,Croatia,test
54,1678,1,0,36337778,342700,343580.9527,2,0,0,0,0,0,1.32E+15,1.25E+13,1.25E+13,72675556,1.17443E+11,1.17745E+11,685400,1.18048E+11,687161.9054,4,0,0.194075721,0.040082984,0.052002947,0.119789878,-0.035140161,0.137107778,-0.020983042,0.01135696,0.006041883,-0.00113832,-50.33641951,50.33641951,Tanzania,test
55,1314,1,0,2040228,12240,584908.892,6.78346,0,0,0,0,0,4.16E+12,24972390720,1.19E+12,13839805.03,149817600,7159284838,83029.5504,3.42118E+11,3967706.073,46.01532957,0,0.100851986,0.090422049,-0.118673305,0.196682746,-0.108444633,0.138517233,-0.032037487,0.013378457,0.008933543,0.002710998,2.473926739,-2.473926739,North Macedonia,test
56,130,1,1,9535079,47697,2208298.639,19.59206,1,9535079,47697,2208298.639,19.59206,9.09E+13,4.54795E+11,2.11E+13,186811839.9,2275003809,1.05329E+11,934482.4858,4.88E+12,43265119.43,383.848815,1.4,0.106665274,0.084876683,-0.112473931,0.183385118,-0.09726825,0.138304089,-0.031508369,0.013046812,0.008573674,0.002338868,0.57422101,0.82577899,Azerbaijan,test
57,1267,1,26,16225302,19230,9044510.949,104.10522,676,421857852,499980,235157284.7,2706.73572,2.63E+14,3.12013E+11,1.47E+14,1689138634,369792900,1.73926E+11,2001943.381,8.18E+13,941580802.1,10837.89683,20,0.072252832,0.095148108,-0.192548612,0.149568952,-0.081897131,0.13774716,-0.035949099,0.01234415,0.008302678,0.002765,97.66863871,-77.66863871,Netherlands,test
58,483,1,0,4302174,11810,1631388.733,12.74052,0,0,0,0,0,1.85E+13,50808674940,7.02E+12,54811933.89,139476100,19266700937,150465.5412,2.66E+12,20784740.78,162.3208499,0,0.098936984,0.089875507,-0.124863092,0.195256986,-0.106983826,0.138503151,-0.032387366,0.013336644,0.008924632,0.002753679,7.874740501,-7.874740501,Croatia,test
59,595,1,0.044,6131767,14341.2,1539999.467,5.2671,0.001936,269797.748,631.0128,67759.97655,0.2317524,3.76E+13,87936896900,9.44E+12,32296629.97,205670017.4,22085440356,75536.53452,2.37E+12,8111331.193,27.74234241,0,0.101622123,0.087956079,-0.119220534,0.199575232,-0.108636885,0.138576632,-0.032090968,0.013418647,0.008977911,0.00275513,1.223577376,-1.223577376,El Salvador,test
60,1714,1,0.057,98482,300,4101.903463,0.033,0.003249,5613.474,17.1,233.8084974,0.001881,9698704324,29544600,403963656.8,3249.906,90000,1230571.039,9.9,16825612.02,135.3628143,0.001089,0,0.099498869,0.091788205,-0.119352623,0.202753387,-0.112955759,0.138615658,-0.032147012,0.013521999,0.00907966,0.002846957,1.349830438,-1.349830438,Tonga,test
61,273,1,0.716,184006479,2287383,45065467.56,353.29366,0.512656,131748639,1637766.228,32266874.77,252.9582606,3.39E+16,4.21E+14,8.29E+15,65008322430,5.23E+12,1.03E+14,808117911.9,2.03E+15,15921343974,124816.4102,0.002,0.601088115,-0.241637414,0.640011787,-0.454178151,0.486134383,0.127411661,0.020670088,-0.003512954,-0.01182506,-0.021203706,-43.30603273,43.30803273,Brazil,test
62,1119,1,74.8,455356,103.8,221318.5382,2.1252,5595.04,34060628.8,7764.24,16554626.66,158.96496,2.07349E+11,47265952.8,1.00779E+11,967722.5712,10774.44,22972864.27,220.59576,48981895351,470346.1574,4.51647504,18.8,0.097645991,0.092140433,-0.123414155,0.206404865,-0.11484877,0.138666947,-0.032440262,0.013589932,0.009167836,0.002980781,16.44872598,2.351274025,Malta,test
