Index,PV_cum_capacity MW last year,total_population,agri_land_area,tertiary,electricity net consumption (billion kWh),PV_cum_capacity MW last year^2,PV_cum_capacity MW last year total_population,PV_cum_capacity MW last year agri_land_area,PV_cum_capacity MW last year tertiary,PV_cum_capacity MW last year electricity net consumption (billion kWh),total_population^2,total_population agri_land_area,total_population tertiary,total_population electricity net consumption (billion kWh),agri_land_area^2,agri_land_area tertiary,agri_land_area electricity net consumption (billion kWh),tertiary^2,tertiary electricity net consumption (billion kWh),electricity net consumption (billion kWh)^2,PV_added_capacity_MW,H2_1,H2_2,H2_3,H2_4,H2_5,H1_1,H1_2,H1_3,H1_4,H1_5,capacity_pred,set
138,0.004,1278153,86,561961.568,21.43722,0.000016,5112.612,0.344,2247.846272,0.08574888,1.63E+12,109921158,7.18E+11,27400047.05,7396,48328694.85,1843.60092,3.16E+11,12046893.76,459.5544013,0.005,-0.16051695,-0.221351095,0.08143228,-0.254501814,0.058382644,-0.075464081,0.618419225,-0.133743322,-0.017721967,-0.375835091,2.700340228,train
798,1,10022650,57830,6475422.414,35.6388,1,10022650,57830,6475422.414,35.6388,1.00E+14,5.80E+11,6.49E+13,357195218.8,3344308900,3.74E+11,2060991.804,4.19E+13,230776284.3,1270.124065,0,-0.178781095,-0.243672556,0.062682009,-0.266069648,0.036536235,-0.087234012,0.622552934,-0.127882786,-0.017009353,-0.367231749,2.659459338,train
981,0,2238799,17340,1688484.23,6.09548,0,0,0,0,0,5.01E+12,38820774660,3.78E+12,13646554.53,300675600,29278316548,105695.6232,2.85E+12,10292121.85,37.15487643,0,-0.153270485,-0.223569518,0.07616298,-0.256370175,0.049166064,-0.074809178,0.616233044,-0.133327207,-0.017377321,-0.377994073,3.868167421,train
1532,9,14578450,88730,1567495.361,3.59264,81,131206050,798570,14107458.25,32.33376,2.13E+14,1.29E+12,2.29E+13,52375122.61,7873012900,1.39E+11,318774.9472,2.46E+12,5631446.534,12.90706217,0,-0.156907846,-0.228144878,0.055328822,-0.261832887,0.031421982,-0.082467094,0.612674987,-0.127685508,-0.015918919,-0.378398381,5.427074888,train
1275,90,16693074,18584,12666462.11,111.89186,8100,1502376660,1672560,1139981590,10070.2674,2.79E+14,3.10E+11,2.11E+14,1867819099,345365056,2.35E+11,2079398.326,1.60E+14,1417274005,12519.78833,59,-0.228648454,-0.274951068,0.072945266,-0.281732622,0.054133524,-0.099112454,0.642429278,-0.129466017,-0.019136589,-0.345338112,76.12885712,train
1297,3,17795209,447820,283511.4823,0.85406,9,53385627,1343460,850534.4469,2.56218,3.17E+14,7.97E+12,5.05E+12,15198176.2,2.01E+11,1.27E+11,382465.1492,80378760596,242135.8166,0.729418484,1,-0.147393831,-0.232211464,-0.016555748,-0.268162599,-0.051379207,-0.104263774,0.591416052,-0.104239157,-0.01005825,-0.385163486,27.86570491,train
873,0,4535375,45939.2,2562667.325,24.959,0,0,0,0,0,2.06E+13,2.08E+11,1.16E+13,113198424.6,2110410097,1.18E+11,1146596.493,6.57E+12,63961613.76,622.951681,0.617,-0.1648618,-0.229276529,0.069338832,-0.258952211,0.04459551,-0.080743427,0.618026142,-0.13018419,-0.017018236,-0.373885487,-0.138643493,train
19,0.758,2889104,11742.9,1900538.32,4.96176,0.574564,2189940.832,8901.1182,1440608.047,3.76101408,8.35E+12,33926459362,5.49E+12,14335040.66,137895700.4,22317831438,58265.4515,3.61E+12,9430015.015,24.6190623,0.116,-0.153690546,-0.224192017,0.076928628,-0.256765332,0.049815257,-0.074674689,0.616691605,-0.133640665,-0.017469448,-0.377702293,4.701111801,train
63,0.026,40788453,1474810,29869954.98,111.17157,0.000676,1060499.778,38345.06,776618.8295,2.89046082,1.66E+15,6.02E+13,1.22E+15,4534516358,2.18E+12,4.41E+13,163956943.2,8.92E+14,3320689791,12359.11798,0,-0.281872119,-0.356249958,-0.211204394,-0.336998653,-0.317354472,-0.218377353,0.592313246,-0.021773403,0.001910275,-0.323785624,-16.30632572,train
827,5.535,1093317187,1805600,111260551.2,414.964,30.636225,6051510630,9993996,615827150.9,2296.82574,1.20E+18,1.97E+15,1.22E+17,4.54E+11,3.26E+12,2.01E+14,749258998.4,1.24E+16,46169123368,172195.1213,1.17,-0.698200661,-0.774060267,-0.928999545,-0.886994595,-0.157046848,-0.44005246,0.643625972,-0.036181002,0.028359265,-0.342317608,-18.33713858,train
196,1006.6,11038264,13357,7709402.768,82.6955,1013243.56,11111116542,13445156.2,7760284826,83241.2903,1.22E+14,1.47E+11,8.51E+13,912814760.6,178409449,1.03E+11,1104563.794,5.94E+13,637532916.6,6838.54572,972,-0.149086851,-0.295821225,0.129027414,-0.329307413,0.102183687,-0.049582974,0.651227572,-0.177038056,-0.026133687,-0.370809278,245.5647664,train
1149,0,1252404,890,443265.2305,2.40526,0,0,0,0,0,1.57E+12,1114639560,5.55E+11,3012357.245,792100,394506055.1,2140.6814,1.96E+11,1066168.128,5.785275668,0,-0.149826781,-0.218952693,0.080522961,-0.254110473,0.054553675,-0.072287186,0.615584291,-0.134743415,-0.017572382,-0.379683907,5.481417135,train
1761,14.18,32428164,142650,1317624.406,2.10561,201.0724,459831365.5,2022777,18683914.08,29.8575498,1.05E+15,4.63E+12,4.27E+13,68281066.4,20349022500,1.88E+11,300365.2665,1.74E+12,2774403.126,4.433593472,0.73,-0.166597267,-0.23347481,0.035104776,-0.268544038,0.017541189,-0.091742427,0.610705112,-0.121985172,-0.014585073,-0.377101311,9.430488114,train
625,3.34,1315407,9930,949297.8963,8.25592,11.1556,4393459.38,33166.2,3170654.974,27.5747728,1.73E+12,13061991510,1.25E+12,10859894.96,98604900,9426528110,81981.2856,9.01E+11,7837327.488,68.16021505,3.16,-0.153017538,-0.22139855,0.07879325,-0.255239708,0.052898841,-0.073867375,0.616344682,-0.134014806,-0.017517886,-0.378346581,4.429646823,train
838,978.582,1280842119,1796980,304774208.9,935.58691,957622.7307,1.25E+12,1758492282,2.98E+11,915548.5096,1.64E+18,2.30E+15,3.90E+17,1.20E+12,3.23E+12,5.48E+14,1681230966,9.29E+16,2.85E+11,875322.8662,467.245,-0.1132826,-0.976522939,-0.988958228,-0.964600811,-0.038277605,-0.215655109,0.598727526,-0.219742969,0.023335645,-0.535738038,606.2451612,train
